id,organization_type,staff,population,reporting_year,total_scope_1,total_scope_2,total_scope_3
648,1,750.0,,2014.0,231.0,179.0,8668.0
649,1,872.0,,2014.0,5055.0,10544.0,0.0
652,1,530.0,,2015.0,4142.0,700.0,0.0
667,2,1467.0,,2015.0,,,
671,1,567.0,,2014.0,384.0,174.0,0.0
672,1,2475.0,,2014.0,26153.0,9402.0,0.0
673,1,1399.0,,2014.0,499.0,291.0,0.0
675,1,1560.0,,2015.0,15530.0,2027.0,0.0
676,1,3996.0,,2015.0,17.0,1.0,5.0
677,1,540.0,,2013.0,1962.0,282.0,435.0
680,1,1100.0,,2014.0,1150.0,23604.0,0.0
681,1,1795.0,,2014.0,6267.0,1425.0,0.0
687,3,452.0,32040.0,2015.0,2014.0,457.0,3599.0
688,1,800.0,,2014.0,1180.0,2509.0,0.0
689,3,415.0,54000.0,2015.0,1318.0,297.0,9012.0
690,1,21429.0,,2015.0,9.0,1.0,2.0
691,1,124872.0,,2015.0,1880.0,89.0,425.0
694,2,335.0,,2014.0,1109.0,1066.0,345.0
695,1,2404.0,,2015.0,186.0,1218.0,0.0
697,1,1414.0,,2015.0,3812.0,1134.0,0.0
698,1,723.0,,2014.0,4450.0,915.0,584.0
699,1,810.0,,2014.0,9649.0,1771.0,980.0
701,1,764.0,,2014.0,1758.0,914.0,0.0
706,1,1000.0,,2014.0,174981.0,8977.0,0.0
709,5,648.0,,2015.0,1924.0,151.0,0.0
710,1,974.0,,2015.0,8134.0,2655.0,0.0
711,1,1931.0,,2014.0,31111.0,4444.0,0.0
713,2,1500.0,,2015.0,2018.0,563.0,551.0
715,1,2800.0,,2014.0,10063.0,2514.0,0.0
719,1,728.0,,2015.0,13591.0,65.0,6902.0
720,2,2400.0,,2015.0,3675.0,311.0,909.0
723,2,7967.0,,2015.0,12452.0,5804.0,83670.0
725,1,483.0,,2015.0,1155.0,1554.0,0.0
727,1,1077.0,,2015.0,1146.0,258.0,0.0
728,1,2144.0,,2014.0,117312.0,47779.0,28423.0
732,2,1290.0,,2015.0,279.0,160.0,0.0
740,1,548.0,,2014.0,492.0,7168.0,25356.0
741,2,791.0,,2014.0,85834.0,2815.0,31329.0
744,1,674.0,,2013.0,2655.0,72.0,6161.0
747,1,1912.0,,2014.0,12151.0,2610.0,0.0
749,1,2110.0,,2013.0,1536.0,1172.0,20420.0
750,1,726.0,,2014.0,7431.0,599.0,0.0
757,3,3011.0,160215.0,2014.0,3456.0,5693.0,0.0
765,5,2192.0,,2014.0,2537.0,559.0,645.0
767,1,750.0,,2014.0,831.0,222.0,217.0
768,1,756.0,,2014.0,295.0,52.0,2812.0
769,1,4805.0,,2015.0,9876.0,759.0,1528.0
771,2,594.0,,2014.0,13205.0,15100.0,0.0
773,1,498.0,,2014.0,15969.0,1871.0,0.0
775,1,616.0,,2014.0,1071.0,259.0,0.0
777,1,647.0,,2014.0,848.0,358.0,0.0
781,1,760.0,,2015.0,11747.0,1120.0,666.0
782,1,512.0,,2014.0,5993.0,1819.0,0.0
783,2,574.0,,2014.0,19396.0,6641.0,24084.0
785,1,1283.0,,2015.0,1451.0,746.0,0.0
790,1,792.0,,2015.0,1824.0,2836.0,4156.0
792,2,155000.0,,2014.0,1215120.0,314650.0,0.0
793,1,600.0,,2015.0,125286.0,45112.0,0.0
798,3,130.0,53000.0,2015.0,3309.0,659.0,685.0
799,2,370.0,,2014.0,587.0,0.0,0.0
800,1,600.0,,2014.0,130476.0,14329.0,0.0
801,1,561.0,,2014.0,45.0,41.0,0.0
802,2,3222.0,,2020.0,967.0,1159.0,2516.0
804,1,3218.0,,2014.0,60154.0,9979.0,0.0
805,1,8586.0,,2014.0,27503.0,6329.0,0.0
806,1,775.0,,2013.0,1291.0,698.0,0.0
807,1,664.0,,2015.0,4364999.0,1815.0,0.0
808,1,600.0,,2013.0,137295.0,24593.0,0.0
811,2,1600.0,,2014.0,3940.0,318.0,931.0
817,1,704.0,,2014.0,4513.0,1469.0,1689.0
826,1,680.0,,2014.0,2114.0,67.0,0.0
831,2,700.0,,2014.0,1112.0,66.0,0.0
832,1,480.0,,2014.0,2020.0,34.0,0.0
833,2,1173.0,,2015.0,2494.0,197.0,0.0
839,1,1985.0,,2015.0,8484.0,522.0,9359.0
840,1,1108.0,,2014.0,6430.0,359.0,0.0
841,1,539.0,,2015.0,21880.0,4346.0,570282.0
847,1,900.0,,2015.0,498.0,1812.0,115.0
851,3,422.0,52628.0,2013.0,558.0,53.0,0.0
853,2,600.0,,2014.0,567.0,343.0,2194.0
858,1,3552.0,,2014.0,1343.0,2393.0,0.0
859,1,815.0,,2015.0,2643.0,157.0,0.0
867,1,2300.0,,2015.0,27795.0,2682.0,0.0
868,1,1200.0,,2014.0,1733.0,1066.0,0.0
871,1,1000.0,,2015.0,2171.0,602.0,0.0
872,1,972.0,,2014.0,6266.0,274.0,0.0
875,1,1036.0,,2014.0,264.0,582.0,0.0
878,1,585.0,,2014.0,2221.0,756.0,0.0
879,1,6300.0,,2014.0,16054.0,370.0,0.0
882,3,2376.0,90000.0,2012.0,3819.0,39065.0,13095.0
883,1,1471.0,,2014.0,5409.0,938.0,0.0
885,1,11105.0,,2014.0,37.0,2732.0,3727.0
889,1,9494.0,,2014.0,5578.0,2129.0,55100.0
890,1,5441.0,,2014.0,8940.0,6467.0,0.0
894,2,842.0,,2014.0,517.0,296.0,214.0
895,2,1783.0,,2014.0,1355.0,1620.0,25754.0
899,1,800.0,,2015.0,20300.0,4613.0,0.0
901,1,8000.0,,2012.0,56437.0,95613.0,113259.0
904,1,1921.0,,2014.0,131138.0,26325.0,0.0
912,1,500.0,,2014.0,1695191.0,10255.0,0.0
